n_estimators,max_depth,min_samples_split,min_samples_leaf,country_accuracy,country_f1_macro,country_f1_weighted,time_accuracy,time_f1_macro,time_f1_weighted,activity_accuracy,activity_f1_macro,activity_f1_weighted,avg_accuracy
50,10,2,1,0.5291005291005291,0.41216485476806575,0.469143305927928,0.5873015873015873,0.3721723242290296,0.5370959718885898,0.6613756613756614,0.5416169488291541,0.634999598716218,0.5925925925925926
50,20,2,1,0.5767195767195767,0.4575200781760379,0.5315199935033834,0.5978835978835979,0.40137315403272855,0.5653942165255911,0.6825396825396826,0.5798543071834997,0.6627076036126613,0.6190476190476191
50,30,2,1,0.6243386243386243,0.5439574907189997,0.5916551996968511,0.5873015873015873,0.3936360102279385,0.5543638720377279,0.6772486772486772,0.5763905993431855,0.6566144082153934,0.6296296296296297
50,None,2,1,0.6243386243386243,0.5439574907189997,0.5916551996968511,0.5925925925925926,0.39677579365079363,0.5589905097841605,0.6772486772486772,0.5763905993431855,0.6566144082153934,0.6313932980599647
100,10,2,1,0.544973544973545,0.4312358162868125,0.48406281484502023,0.6084656084656085,0.382946184716571,0.5530903174986559,0.6878306878306878,0.5620638341543513,0.6610270544999609,0.6137566137566138
100,20,2,1,0.5925925925925926,0.47960973499199777,0.5450089051229371,0.6084656084656085,0.3872126436781609,0.5570759593748099,0.6666666666666666,0.5446453289858193,0.6393013509811935,0.6225749559082892
100,30,2,1,0.5925925925925926,0.4946538449295802,0.5531878511570388,0.5978835978835979,0.3822648690687742,0.5489104920819519,0.656084656084656,0.5355728428239037,0.6287021949115819,0.6155202821869489
100,None,2,1,0.5978835978835979,0.4964582048849445,0.5565201807766313,0.6031746031746031,0.38716086173713293,0.5549478471189528,0.656084656084656,0.5355728428239037,0.6287021949115819,0.619047619047619
200,10,2,1,0.5343915343915344,0.4150003375955229,0.4707960198220229,0.5925925925925926,0.35920911240060177,0.5270546282366614,0.6772486772486772,0.554882575046209,0.650392412782821,0.6014109347442681
200,20,2,1,0.6031746031746031,0.4878148677732656,0.5497823679061086,0.6084656084656085,0.3872126436781609,0.5570759593748099,0.6878306878306878,0.5616880037932669,0.659793126459793,0.6331569664902998
200,30,2,1,0.5978835978835979,0.49608820137855236,0.5469415300247497,0.6031746031746031,0.38349072952815366,0.5524574583355323,0.6825396825396826,0.5574374766703993,0.6545611467597282,0.6278659611992945
200,None,2,1,0.5978835978835979,0.49608820137855236,0.5469415300247497,0.6031746031746031,0.38349072952815366,0.5524574583355323,0.6825396825396826,0.5574374766703993,0.6545611467597282,0.6278659611992945
300,10,2,1,0.5343915343915344,0.41604200426218957,0.4663868487461852,0.5978835978835979,0.3728921940128837,0.540806803122074,0.6825396825396826,0.5601410388107635,0.6571744933474947,0.6049382716049383
300,20,2,1,0.5978835978835979,0.48294044227491095,0.5440933537171897,0.5873015873015873,0.3613622664255576,0.5273846997777075,0.6825396825396826,0.5581703151684521,0.6549226228468582,0.6225749559082893
300,30,2,1,0.5978835978835979,0.5056665555498254,0.5519208454119794,0.5978835978835979,0.36818294636611837,0.5365156965057685,0.6825396825396826,0.5585759722153064,0.6552321160833334,0.6261022927689595
300,None,2,1,0.5925925925925926,0.4899423492006191,0.5423004540455563,0.5978835978835979,0.36818294636611837,0.5365156965057685,0.6825396825396826,0.5585759722153064,0.6552321160833334,0.6243386243386243
200,20,2,2,0.5925925925925926,0.4774170101176175,0.5356989050438894,0.5925925925925926,0.37373068604617954,0.5396935572010673,0.6613756613756614,0.5415491651205937,0.6343858409164531,0.6155202821869489
200,20,2,4,0.5873015873015873,0.4625241667399686,0.5245879354968903,0.5978835978835979,0.38037470185957023,0.5472613346446167,0.6825396825396826,0.5581703151684521,0.6549226228468582,0.6225749559082893
200,20,2,8,0.5291005291005291,0.3651260510149161,0.4453127974526818,0.5873015873015873,0.3618268704475601,0.5279459132770572,0.671957671957672,0.5285990280134336,0.6390490051105576,0.5961199294532628
200,20,5,1,0.5714285714285714,0.45303629395532446,0.5127908020884643,0.6137566137566137,0.39197327173733704,0.5623006925184784,0.6825396825396826,0.5587501431064423,0.656304893146501,0.6225749559082893
200,20,5,2,0.5767195767195767,0.47152989983872334,0.5190326411148073,0.5925925925925926,0.36972576779443733,0.5362157088092098,0.6772486772486772,0.553606781003713,0.6496076486214822,0.6155202821869489
200,20,5,4,0.5873015873015873,0.4625241667399686,0.5245879354968903,0.5978835978835979,0.38037470185957023,0.5472613346446167,0.6825396825396826,0.5581703151684521,0.6549226228468582,0.6225749559082893
200,20,5,8,0.5291005291005291,0.3651260510149161,0.4453127974526818,0.5873015873015873,0.3618268704475601,0.5279459132770572,0.671957671957672,0.5285990280134336,0.6390490051105576,0.5961199294532628
200,20,10,1,0.5873015873015873,0.47279304319261745,0.5325067025678849,0.5873015873015873,0.36412401466745714,0.5300633496316697,0.671957671957672,0.5501597051597051,0.6448916448916449,0.6155202821869489
200,20,10,2,0.582010582010582,0.46048187147244724,0.5167571978128126,0.5925925925925926,0.3771551724137931,0.542601715015508,0.6666666666666666,0.5456771181362916,0.6394688065885951,0.6137566137566136
200,20,10,4,0.5502645502645502,0.4250798494542565,0.48779228782466644,0.582010582010582,0.3643762112124028,0.5282089356319877,0.6772486772486772,0.5539236605026079,0.6499261165927832,0.6031746031746031
200,20,10,8,0.5291005291005291,0.3651260510149161,0.4453127974526818,0.5873015873015873,0.3618268704475601,0.5279459132770572,0.671957671957672,0.5285990280134336,0.6390490051105576,0.5961199294532628
200,20,15,1,0.5714285714285714,0.43156442280929286,0.5085721768152881,0.5978835978835979,0.3697107490210938,0.5383719850058108,0.6772486772486772,0.5536010056196391,0.6497207394575037,0.6155202821869489
200,20,15,2,0.5555555555555556,0.4286300759407125,0.49127643247080977,0.5925925925925926,0.3731900283624422,0.5397946941460898,0.6825396825396826,0.5781401134242583,0.6605956896127596,0.6102292768959435
200,20,15,4,0.5396825396825397,0.39454214282225963,0.46497321542887715,0.5767195767195767,0.3479270433941305,0.5123534460546679,0.6825396825396826,0.5354338153503893,0.6480866257432814,0.599647266313933
200,20,15,8,0.5291005291005291,0.3651260510149161,0.4453127974526818,0.5873015873015873,0.3618268704475601,0.5279459132770572,0.671957671957672,0.5285990280134336,0.6390490051105576,0.5961199294532628
